complaint_id,text,product,channel
C00001,interest rate increased suddenly. I have contacted support multiple times.,Credit Card,Website
C00002,loan application was denied without explanation. I expect a prompt resolution.,Personal Loan,Mobile App
C00003,issue was escalated but no follow up. this has been very frustrating.,Mortgage,Mobile App
C00004,annual fee was applied without notice. I have contacted support multiple times.,Credit Card,Email
C00005,customer service never responds. I expect a prompt resolution.,Mortgage,Website
C00006,cannot reopen my account. this is unacceptable.,Credit Card,Website
C00007,fraudulent charges still pending. please resolve this issue immediately.,Checking Account,Mobile App
C00008,loan status keeps changing online. please resolve this issue immediately.,Personal Loan,Call Center
C00009,approval process is taking too long. please resolve this issue immediately.,Personal Loan,Mobile App
C00010,late payment fee seems incorrect. this has been very frustrating.,Credit Card,Call Center
C00011,transactions not showing in app. please resolve this issue immediately.,Online Banking,Mobile App
C00012,no explanation given for account closure. I expect a prompt resolution.,Credit Card,Mobile App
C00013,unauthorized transaction on my account. I expect a prompt resolution.,Checking Account,Call Center
C00014,cannot reopen my account. please resolve this issue immediately.,Credit Card,Email
C00015,loan application was denied without explanation. this has been very frustrating.,Personal Loan,Website
C00016,online banking system was down. I have contacted support multiple times.,Online Banking,Mobile App
C00017,card was used without my permission. this is unacceptable.,Checking Account,Call Center
C00018,documents were submitted but no response. please resolve this issue immediately.,Personal Loan,Website
C00019,funds are inaccessible after closure. this has been very frustrating.,Credit Card,Email
C00020,received notice that my account is terminated. I expect a prompt resolution.,Credit Card,Website
C00021,loan status keeps changing online. this is unacceptable.,Personal Loan,Call Center
C00022,cannot reopen my account. I have contacted support multiple times.,Credit Card,Call Center
C00023,annual fee was applied without notice. this has been very frustrating.,Credit Card,Call Center
C00024,card was used without my permission. this has been very frustrating.,Checking Account,Website
C00025,representative was unhelpful. I have contacted support multiple times.,Mortgage,Branch
C00026,dispute process is extremely slow. I have contacted support multiple times.,Checking Account,Call Center
C00027,approval process is taking too long. I expect a prompt resolution.,Personal Loan,Email
C00028,transactions not showing in app. this is unacceptable.,Online Banking,Email
C00029,card was used without my permission. I have contacted support multiple times.,Checking Account,Website
C00030,issue was escalated but no follow up. this has been very frustrating.,Mortgage,Mobile App
C00031,annual fee was applied without notice. I have contacted support multiple times.,Credit Card,Branch
C00032,customer service never responds. this is unacceptable.,Mortgage,Branch
C00033,issue was escalated but no follow up. I expect a prompt resolution.,Mortgage,Call Center
C00034,customer service never responds. this has been very frustrating.,Mortgage,Email
C00035,unable to log into my account. this has been very frustrating.,Online Banking,Call Center
C00036,fraud claim has not been resolved. this is unacceptable.,Checking Account,Mobile App
C00037,funds are inaccessible after closure. I expect a prompt resolution.,Credit Card,Website
C00038,customer service never responds. please resolve this issue immediately.,Mortgage,Email
C00039,long wait times on the phone. I have contacted support multiple times.,Mortgage,Call Center
C00040,received conflicting information about approval. I expect a prompt resolution.,Personal Loan,Mobile App
C00041,representative was unhelpful. this is unacceptable.,Mortgage,Mobile App
C00042,interest rate increased suddenly. please resolve this issue immediately.,Credit Card,Website
C00043,annual fee was applied without notice. I expect a prompt resolution.,Credit Card,Mobile App
C00044,late payment fee seems incorrect. this has been very frustrating.,Credit Card,Email
C00045,approval process is taking too long. this is unacceptable.,Personal Loan,Email
C00046,documents were submitted but no response. I expect a prompt resolution.,Personal Loan,Email
C00047,fraud claim has not been resolved. I expect a prompt resolution.,Checking Account,Website
C00048,funds are inaccessible after closure. this is unacceptable.,Credit Card,Call Center
C00049,fraudulent charges still pending. this is unacceptable.,Checking Account,Mobile App
C00050,approval process is taking too long. this has been very frustrating.,Personal Loan,Call Center
C00051,billing statement has unexplained charges. I expect a prompt resolution.,Credit Card,Website
C00052,long wait times on the phone. this has been very frustrating.,Mortgage,Mobile App
C00053,account was closed without warning. I have contacted support multiple times.,Credit Card,Mobile App
C00054,interest rate increased suddenly. this has been very frustrating.,Credit Card,Email
C00055,documents were submitted but no response. this is unacceptable.,Personal Loan,Website
C00056,long wait times on the phone. I expect a prompt resolution.,Mortgage,Email
C00057,fraud claim has not been resolved. this is unacceptable.,Checking Account,Branch
C00058,loan application was denied without explanation. this has been very frustrating.,Personal Loan,Branch
C00059,website shows error during login. this is unacceptable.,Online Banking,Branch
C00060,account was closed without warning. this has been very frustrating.,Credit Card,Mobile App
C00061,card was used without my permission. this has been very frustrating.,Checking Account,Website
C00062,approval process is taking too long. I expect a prompt resolution.,Personal Loan,Branch
C00063,loan status keeps changing online. I have contacted support multiple times.,Personal Loan,Call Center
C00064,fraud claim has not been resolved. this has been very frustrating.,Checking Account,Branch
C00065,customer service never responds. this has been very frustrating.,Mortgage,Email
C00066,charged unexpected fees on my credit card. I have contacted support multiple times.,Credit Card,Website
C00067,dispute process is extremely slow. this is unacceptable.,Checking Account,Website
C00068,unauthorized transaction on my account. I have contacted support multiple times.,Checking Account,Branch
C00069,late payment fee seems incorrect. please resolve this issue immediately.,Credit Card,Branch
C00070,website shows error during login. I expect a prompt resolution.,Online Banking,Branch
C00071,approval process is taking too long. please resolve this issue immediately.,Personal Loan,Website
